reviews	descs
I recommend adjust the language to be more consistent throughout.	3. The paper is not nicely written or rather easy to follow.
(2) The function of the discriminator is not very clear, especially for the classification error test.	Missing details on methodology (eg., use of notation, use on tasks, etc)
First, the technical contribution is lean. Neither the multi-agent learning or the hierarchical learning of the algorithm is novel.	Limited novelty in theoretical contribution
Is the energy-based model particularly well-suited to the random-projection setup, or are there other reasons for using it, independent of the use of random projections?	Missing details on methodology (eg., use of notation, use on tasks, etc)
It seems to me just a combination of several mature techniques.	Limited novelty in theoretical contribution
"Even without the ""train to convergence"" question above, I don't think the authors have demonstrated that their claims on the properties of their algorithms/formulations are generally true."	Correctness of algorithm proposed
Overall, the paper is a little confusing.	3. The paper is not nicely written or rather easy to follow.
Do they here refer to the gradients with respect to the weights ONLY?	Missing details on methodology (eg., use of notation, use on tasks, etc)
How do we take a limit of M -> ∞ ? Does k also go ∞?	Missing details on methodology (eg., use of notation, use on tasks, etc)
Does such approximation guarantee the policy improvement?	Correctness of algorithm proposed
I would have expected to see some analysis and results on the translation quality over systematic noise applied to the input graph.	generalizability of results is questionable
The writing is understandable for the most part, but the paper seems to lack focus - there is no clear take home message.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
- My biggest issue is that there is no clear evaluation of the runtime benefit of the second Viterbi decompressor.	Incomplete details on perfromance of the method
Therefore, I am not convinced that the power-law form of the generalization error would hold when the experimental settings are marginally different (like when using the Adam optimizer or a VGG-like architecture).	Experimental study not strong enough
This paper fails to account for a vast amount of literature on modeling natural images that predates the post-AlexNet deep-learning era.	Incremental novelty of method as compared to related work
Without an empirical example in a realistic setting, it is hard to judge whether the benefits of introducing an ME bias for better classification of new inputs belonging to new classes can outweigh the negatives via a potential increase in misclassification of those belonging to old classes.	Lack of experimental details (no of images, sampling criteria, etc)
It is also not clear to me why CIFAR datasets involve two domains and how these domains are relevant in each of the tasks.	Lacking details on datasets
I find the background on ELBO and GANs unnecessary occluding the clarity at this point.	Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)
"5. The term ""PowerSGD"" seems to have been used by other papers."	Missing literature review (some literature not included, misses baseline citations, etc)
However, the method they propose offers very little that is new when compared to e.g. Vaswani (https://arxiv.org/pdf/1706.03762.pdf, section 3.5) (the authors acknowledge this work several times).	Improper comparison of related work in terms of implementation
Authors should clarify the justification behind experimenting only on 'first 500 test images'.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
- In active learning, the proposed method should be compared with other methods such as Bayesian DNN using dropout, etc.	Missing theoretical comparisons
"- ""the variance of models obtained by Guassian Process regression is handled implicitely so we tran each model once""? I do not understand what this means, and I work with hyper-parameter tuning using gaussian processes daily."	Unclear description of method
So, the motivating assertion “[...] state-of-the-art solvers do not yet scale to large, difficult formulas, such as ones with hundreds of variables and thousands of clauses” in the introduction of the paper, is not totally correct.	Incorrect claims in introduction (confusing related work presented in intro, wrong claims)
"The column ""FLOPS"" in the result seems to measure the speedup, whereas the actual FLOPS should be less when the speed increases."	correctness of results presented is questionable(eg., metrics, complexity, etc)
3. how are predicted labels embedded? Do you learn a vector of each tag of BIOES and then take a weighted sum of these vectors with predicted probabilities as weights?	Missing details on methodology (eg., use of notation, use on tasks, etc)
* The architecture of the particular model is described very briefly, and at multiple points there’s an implication that this is an investigation of “deep learning models” more generally, even though those models may vary widely.	Incomplete details on perfromance of the method
The graphs were difficult to parse.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
The experiments currently demonstrate that optimizing both controller and hardware is better than optimizing just the controller, which is not surprising and is a phenomenon which has been previously studied in the literature.	Not enough novelty in experiments (seems similar to previous work)
The reviewer votes for rejection as the method has limited novelty.	Limited novelty in theoretical contribution
"Page 4: Other Connections with Lower bounds: The first line "" ""we may also consider ... "". This line is vague. How will you ensure the amount of deformation is such that the set \bar{U} is contained in U ?"	Correctness of algorithm proposed
but the way the paper is written makes it very difficult to follow, and the description of the proposed model is unclear (making the experiments difficult to reproduce) and lacks of a better discussion about the interest of mixing multiple loss.	Unclear description of method
To change to a firm accept, I think the paper needs some changes in written style mainly, to make it friendlier to newcomers to the area, which can easily be implemented in the camera ready stage of paper preparation.	3. The paper is not nicely written or rather easy to follow.
- There are two lines of text between Fig. 4 and Fig. 5, which is confusing.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
However, the experimental results are weak in justifying the paper's claims.	Experimental study not strong enough
In terms of presentation, the notation and statement of theorems are precise, however, the presentation is rather dry, and I think the paper can be significantly more accessible.	3. The paper is not nicely written or rather easy to follow.
The connections of the proposed approach with existing literature should be better explained.	Improper comparison of related work in terms of implementation
There are several issues convolved here: one is ``full-matrix,'' another is that this is really a low-rank approximation to a matrix and so not full matrix, another is that this may or may not be implementable on GPUs.	Correctness of algorithm proposed
"The title claims way more than what is actually delivered in the paper, despite the fact that the authors have put in an ""On"" in the beginning of the title."	Incorrect claims in introduction (confusing related work presented in intro, wrong claims)
- Figure 6(a) clearly suggests that the data mean for SVHN and CIFAR are very different, instead of similar.	Incomplete ablation in terms of tables and figures
6. The rationale of the two tower design (why not combine two) is not clearly explained.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The discussion/explanation of the differing performance of tying or not tying each part of the embedding weights for the different datasets is confusing; I think it could benefit from tightening up the wording but mostly I just had to read it a couple times. Perhaps all that's complicated is the distinction between embedding and projection weights; it would definitely be helpful to be as explicit about that as possible upfront.	Unclear description of method
Additionally, the Wave-U-Net appears to reach the same accuracy as the Harmonic Convolution with many fewer iterations (while also continuing to get much higher PSNRs).	Correctness of algorithm proposed
Why, for example, did the authors only perform variational inference with the current and previous frames? Did conditioning on additional frames offer limited further improvement? Can the blurriness instead be attributable to the weak inference model?	Incomplete details on perfromance of the method
On the other hand, it is hard to say what the _main_ contribution is, which in turn makes it difficult to evaluate whether the experimental evaluation is sufficient:	design choices are questionable
There has been a large body of work which shows that weaker attacks like membership attacks can be equally damaging, ii) Privacy is a worst-case guarantee.	Incorrect assumptions as compared to related work
That said, I would like to see more analysis on the behavior of the proposed method under various interesting cases not tested yet.	Lack of analysis of proposed method
"- Minor grammatical mistakes (missing ""a"" or ""the"" in front of some terms, suggest proofread.)"	3. The paper is not nicely written or rather easy to follow.
Apart from combining these to existing ideas, what can be considered as an added novelty to improve the quality of the disentangled features?	Incomplete details on perfromance of the method
Thus the experiment comparison is not really fair.	Experimental study not strong enough
I think that the current draft lacks strong experimental results to properly demonstrate the usefulness of the method.	More variations of experiments needs to be added
This issues makes reviewing this paper very difficult.	3. The paper is not nicely written or rather easy to follow.
3. The graph neural networks used in the model are not described in the paper, only a reference to Paliwal et al (2019) is given.	Missing implementation details of related work used as baselines
In summary, I'm inclined to reject this paper given the current version.	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
I understand how the game theoretic framework is established but how does this manifest itself in the algorithm described in Section 3.1 needs more explanation.	Incomplete details on perfromance of the method
Weakness: It would be good to see some comparison to the state of the art	Missing baselines
Furthermore, If I deploy the learning algorithm on a physical robot, will the temporally consistent exploration cause less wear and tear to the actuators when the robot explores.	Correctness of algorithm proposed
Since this paper is an application paper, rather than a theoretical paper that bears theoretical findings, I would expect much more thorough experimental setup and analysis.	Experimental study not strong enough
"- (top of p. 2) ""encourage parameter sharing"" - between what and what? at which level? [reading on, I realized this applies to groups of features; it should maybe be made clear earlier]"	Unclear description of method
As of now, the greedy nature of the algorithm is hidden across a number of sections (not introduced when presenting the main algorithm).	Incomplete details on perfromance of the method
- In Equation (6), the posterior distribution should be P(X|G) since X is the latent variable to be inferred, right	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The set F in Definition 3.5 looks odd, as it appears to be recursive and might not be unique.	Unclear description of method
I consider this assumption unrealistic.	Correctness of algorithm proposed
-  Instead of relying on the KL regularizer, a standard approach to learning the model in Eq 3 would be to use well understood MCMC or variational methods that explicitly retain uncertainty in \theta and induce predictive uncertainties.  Were they explored and found to be not effective?	Correctness of algorithm proposed
This matters, because the notion of equivariance really only makes sense for a group.	Incomplete details on perfromance of the method
However, the weakness is that the condition is opaque and it is not entirely clear how broad of class of problems this condition would apply to.	Unclear description of method
1. What is M in Algorithm 1 ?	Unclear description of method
Please run at least 10 experiments.	Experimental study not strong enough
before Eq (3): the 'photometric ..' -> a 'photometric ..'	Correctness of algorithm proposed
Overall, I feel that this paper falls short of what it promises, so I cannot recommend acceptance at this time.	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
The major issue I have with this paper is Theorem 3.1 on the ergodic convergence rate of the proposed PowerSGD.	Correctness of algorithm proposed
- Is there actionable consequences one could draw from your papers? The way the results are presented seem like they are only useful inspection after training; are your results able to derive methods to enforce conditions on the pre-images for example?	correctness of results presented is questionable(eg., metrics, complexity, etc)
When learning rates are in focus, a convincing message would be to show that adaptation of learning rates is more efficient and simpler than their scheduling when tested on state-of-the-art architectures.	Incomplete details on perfromance of the method
Furthermore, the usage of the evaluation method unclear as well, it seems to be designed for evaluating the effectiveness of different adversarial attacks in Figure 2.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
However, I can not agree because you can simply generate poisoned data and train the neural networks on the poisoned data regardless of the underlying approach that is targeted in generating the poisoned data.	generalizability of method on datasets created from different distributions is questionable
The connection between mutual information and generalization has been studied in several contexts [see, e.g., the references in this paper and https://arxiv.org/abs/1511.05219 https://arxiv.org/abs/1705.07809 https://arxiv.org/abs/1712.07196 https://arxiv.org/pdf/1605.02277.pdf https://arxiv.org/abs/1710.05233 https://arxiv.org/pdf/1706.00820.pdf ] and further exploration is desirable.	Limited improvement over baselines
4) Table 1 difference between DNC and DNC (DM) is not clear. I am assuming it's the numbers reported in the paper, vs the author's implementation?	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
If the paper cannot compare various architecture, it is more convincing to at least use some standard architecture, like DCGAN. Or at least report the parameter tuning effort made for getting the results.	Incomplete details on perfromance of the method
This detail is not discussed in this paper, and some details -- such as the learning rate for the meta-optimizer I was unable to find.	Unclear description of method
o feedforward rather than recurrent network;	Incomplete details on perfromance of the method
As a result, constraining the model will alter the mutual information and I think the effect of this should be remarked on.	Theoretical misunderstanding in methodology
However, their algorithm--while much less computationally expensive than true full-matrix adaptive preconditioning---is still far more expensive than the usual diagonal version.	Missing details on methodology (eg., use of notation, use on tasks, etc)
The paper has an interesting potential but seems a bit limited in its present form.	Lacking clarity overall (needs better presentation)
As such the paper is not convincing.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
The use of beta>1 is fine if it helps alongside the use of this approach, but it would have been better to see the effects of this approach and beta>1 (and other hyperparameters such as k in Table 1) in isolation.	Incomplete details on perfromance of the method
Detail: section 4 describes the transfer learning model used in the work, but the description is unclear.	Unclear description of method
Have the authors considered to use categorical or binary variables?	Missing theoretical comparisons
2. In Figure 3, the baseline got different perplexity between 3(a) and 3(b).	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Furthermore, in experiments, the paper does not provide any quantitatively convincing results to suggest the generator in use is a good one.	correctness of experiments is questionable
In Figure 5, a legend indicating the relationship between color intensity and distance would be helpful.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
Results and discussion about how the previous methods with full features perform compared to SASNet, and also how we can include those features into SASNet should complete the paper.	Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)
It would be nice if the authors pointed to a git repository with their code an experiments.	Lack of experimental details (no of images, sampling criteria, etc)
More details should be provided, and when comparisons to past works or inter-life curiosity are made, this should be controlled for.	Limited improvement over baselines
I would suggest comparing with CW attack under different sets of hyper-parameters.	Missing theoretical comparisons
This is all further confused by the semantic topics used for clustering the images which ignores stop words and therefore spatial relations or any grammatical nuances.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- also, if the authors can explain more on sec 2.5 it will be helpful. If we simply ignore the imaginary part, although the theory is not applicable, but what would the empirical performance be?	Incomplete details on perfromance of the method
How do performance and model size trade off?	Correctness of algorithm proposed
Finally, it is unclear how the authors have picked the best \lambda parameter for their approach? On page 5 they state that they “pick the value that results in a good trade-off between high uncertainty estimates and high prediction accuracy.” Does this mean that you get to observe the performance in the test in order to select the appropriate value for \lambda? If this is the case this is completely undesirable and is considered a bad practice.	Missing details on methodology (eg., use of notation, use on tasks, etc)
However, given that the datasets used in the experiments were not used in the associated benchmark papers, it is necessary for authors to explain how they trained competing models.	Lack of realistic datasets used in experiments (small siz, synthetic)
My main question is that: what is the main advantage of the Cramer-Wold distance to an MMD with a proper kernel?	Incomplete details on perfromance of the method
In equation 1, 2 the updates of  \mu_new and \sigma_new uses \lambda_i, however the authors provide common choices for \lambda without any justification or references.	Incomplete details on perfromance of the method
If these networks can truly solve these problems, authors should report the success rate while varying the threshold, not individual accuracy of the items which can be arbitrarily high by violating constraints.	generalizability of results is questionable
"-	In section 4, it is unclear why only the maximal activation of the softmax layer is used to characterize a sample? Why not considering the full distribution that should contain richer information? Why just focusing on the output layer and why not using the info available at intermediate layers?"	Correctness of algorithm proposed
The samples from MNIST in Figure 3 are indeed very blurry, supporting this.	Incomplete ablation in terms of tables and figures
positive - it unlikely to be true that an undefended network is predominantly	Unclear description of method
Equations (5) and (6) require a theorem of differentiating under integral (expectation), such as Leibnitz rule, which in case of (6) requires q_gamma(y)f(y) to be continuous in y and q_gamma(y) continuously differentiable in gamma.	Correctness of algorithm proposed
The author can perhaps consider the datasets used by Tsai et al. There are seven datasets, and they can all be modified to the setting of partially-observable multimodal data.	Less datasets used
"2) It would be great if the paper can clearly define the experiments: ""waypoint"", ""oncoming"", ""mall"", and ""bottleneck""."	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
- In Equation (2), How is P_ij defined exactly, are they parameters? I am quite confused about this part	Unclear description of method
Finally, could you give a more accurate citation (chapter-page number) for the single-channel version of Theorem 2.?	Theoretical misunderstanding in methodology
"The fact that HAT-like masks are used for a generative replay approach is clear, but the actual mechanism of ""growing capacity"" is not made clear at all especially in the beginning of the paper."	Unclear description of method
I think having this in mind, showing the convergence of Theorems 3.2-3.4 is somehow trivial.	Correctness of algorithm proposed
Why mention it here, if it's not being defined.	Unclear description of method
In addition, the subindex ‘1’ of the point ‘q’ is not explained.	Unclear description of method
Since positional encoding with Fourier transforms is well known, this seems like the relevant benchmark but it receives only a brief treatment.	Limited improvement over baselines
Why should we use embedding to compare the similarity?	Correctness of algorithm proposed
All in all, the results show that the proposed method provides a significant speedup with respect to Shim et al., but it lacks comparison with other methods in the literature.	Improper comparison of related work in terms of implementation
The paper tries to control for it, however that description is rather short and vague (not clear how the proposed reward is computed without there being a grid, or how is the grid useful without the intrinsic reward).	Correctness of algorithm proposed
The maths is not clear, in particular the gradient derivation in equation (8).	Unclear description of method
This sort of two-stage generation is also potentially interesting, I was wondering if the authors had ideas to generalize this idea.	This sort of two-stage generation is also potentially interesting, I was wondering if the authors had ideas to generalize this idea.
o use of the Penn Treebank dataset only;	Less datasets used
- How easy is it to train with K matrices? Did you have to change optimizer hyperparameter compared to existing baselines?	Experimental study not strong enough
Lemma 2.4, Point 1: The proof is confusing.	Incomplete details on perfromance of the method
It would be interesting to know the evaluation times for the BA-net and more importantly to have some implementation details to ensure reproducibility.	Missing details on methodology (eg., use of notation, use on tasks, etc)
Specifically, there is some confusion about estimation of w~, which seems based on frequency estimation from past SGD iterations (Eq 3).	Unclear description of method
The MNIST is a relatively simple experiment, and I would like to see how the method works in more challenging problems.	More variations of experiments needs to be added
It would be interesting to see if the proposed method is competitive for training contemporary networks and w.r.t. simple schedule schemes.	Incomplete details on perfromance of the method
The loss term is motivated by the idea that we want the output distribution to retain some information about the context, but why should that be the case?	Correctness of algorithm proposed
- White-box attack experiments don’t really prove the strength of the method, even with imagenet experiments, as almost all attacks get 100% success rate making it hard to compare.	More variations of experiments needs to be added
* The paper states multiple times that VAEAC [Ivanov et al., 2019] cannot handle partially missing data, but I don’t think this is true, since their missing features imputation experiment uses the setup of 50% truly missing features.	Incorrect assumptions as compared to related work
The proofs are quite dense and I was unable to verify them carefully.	Missing details on methodology (eg., use of notation, use on tasks, etc)
That is, authors assumed that they have a degradation function F and all the inference process is just based on this known function.	Limited insights based on design choices
This appears to be very restrictive, since typically the values of time series j at time t-1 are typically depending say of those that time t-2, t-3 etc.	Incomplete details on perfromance of the method
Negative aspects: One major concern I have with the paper is the notion of privacy considered.	Correctness of algorithm proposed
- It is a bit unclear to me how the authors propose to obtain independent posteriors over z and c. Is it purely empirical or is there a formal reason that guarantees it?	Incomplete details on perfromance of the method
This paper should be rejected because proposed method demonstrates that an instance of one class of problems, Fractional Adwords, can be learned to solve without domain expertise, however fails to prove that the approach would be beneficial for any other instances of the same problem.	Incomplete details on perfromance of the method
While this paper is acknowledged in the related work, it would be helpful to expand further on the relationship between these works, so the originality and contribution of this paper can be better evaluated.	Incremental novelty of method as compared to related work
The usefulness of the approach is also lessened by the greater importance of the choice of the optimizer.	Correctness of algorithm proposed
"Minor:  Since the action is denoted by ""a"",  it will be more clear if the authors use another symbol to denote the parameter of q(z) instead of ""\alpha"" at Eq 10 and 15."	Unclear description of method
Moreover, due to the trace based loss function, the computational cost will also be very high.	Incomplete details on perfromance of the method
"In the last paragraph in Related Work, ""provide"" should be ""provides""."	Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)
I am also wondering if the comparison with the baselines is fair.	Missing baselines
https://arxiv.org/abs/1802.04942	Incorrect citation
Is a simple algorithm enough? What algorithms should we ideally use in practice?	Incomplete details on perfromance of the method
Consider doing cross validation over those 42-49 data points, and report the mean of deviations computed on the test folds.	Less datasets used
For example, the authors did not justify why VGMM model was chosen and how does it compare to other density estimators.	Unclear description of method
The mode of language modeling evaluation presented here, without considering an actual language or speech processing task, provides limited insight w.r.t. its utility in actual applications.	Incomplete details on perfromance of the method
-Something is a bit weird with the FGM results. While it is a weaker attack, a 0%/100% disparity between it and every other	Unclear description of method
The experiments on SHREC17 show all three spherical methods under-performing other approaches.	More variations of experiments needs to be added
caption of Fig 1: extractS	Incomplete ablation in terms of tables and figures
- very incremental improvements on PTB over a very simple baseline (far from SotA)	Missing implementation details of related work used as baselines
The notion of privacy considered in the paper makes two assumptions which I am not comfortable with: i) The protection that the notion assures is against reconstruction attacks.	Correctness of algorithm proposed
1. Experimental settings are clear, however, what makes me confused is that the construction for p_{\bar{d}} is straightforward for simple distribution like 2D points dataset, however, it might be intractable for complex high dimensional data such as images.	Limited generalizability of claims on other datasets
It is not even clear that the final compression of the baselines would not be better.	Incorrect assumptions as compared to related work
1. the difficult to train the network	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
Specifically the text in Section 3.3 that explains Algorithm 1 is a bit confusing.	Unclear description of method
An example of lack of mathematical rigor is equation 4 in which the same variable name is used to describe the weights before and after pruning, as if it was computer code instead of an equation.	Unclear description of method
This baseline was also missing in image reconstruction.	Missing baselines
(b) a significant clarification of Figure 4.	Incomplete ablation in terms of tables and figures
Specifically, the policy update in Dreamer resembles that of SVG (Heess et al., 2015), which also backpropagates re-parameterized gradients through a value function and a transition model.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
In terms of learning rate scaling, this paper gets similar conclusions as Shallue et al. (2018).	Incremental novelty of method as compared to related work
What was wrong with LSTMs/GRUs as they've been used extensively for recursive problems including operations on trees?	Incomplete details on perfromance of the method
The current experimental settings are not matched with the practice environment.	Experimental study not strong enough
3. [Presentation.] The presentation is undesirable. It may make the readers hard to follow the paper.	3. The paper is not nicely written or rather easy to follow.
It leaves it unclear to the reader when someone should choose to utilize a spherical method or when the proposed method would then be preferred compared to other spherical methods.	Unclear description of method
However, the novelty is rather limited as similar ideas have been undertaken (e.g., Mescheder et al 2018), but in different contexts.	Incremental novelty of method as compared to related work
But the authors do not seem to describe how they chose the hyperparameters for the baselines algorithms.	Unclear description of method
- About line 10 in Algorithm 1, how does the proposed method update the population P? Please elaborate on this procedure.	Incomplete details on perfromance of the method
I do not understand why making use of labels is important for solving the catastrophic forgetting problem and how the labels are useful in the generative replay process.	Missing details on methodology (eg., use of notation, use on tasks, etc)
Here, the straightforward regression term means directly regress the output mask to the target densepose mask. Will the proposed mask term perform better?	Incomplete details on perfromance of the method
- This approach seems very limited, as there must exist a known transformation that removes the desired information.	Incomplete details on perfromance of the method
#3 is so generic that a large part of the previous literature on the topic fall under this category -- not new.	Incorrect assumptions as compared to related work
And lastly, I also can see how parameter sharing can simplify the learning, but I still don't see how it would allow agents to estimate the behaviour change of other agents easier.	Correctness of algorithm proposed
Therefore, it is an overclaim that the KL-divergence bound (2) provides an immediate justification for AGZ’s core learning algorithm.	Correctness of algorithm proposed
Without the comparison it’s not clear how much improvement this approach provides compared to existing work that perform stale updates.	Unclear connection of method with related work (description of the related work it is based on, why earlier methods fail, etc)
Besides, in the experiments, the proposed method is not compared to other transfer learning methods.	Lack of comparison with related works
The more interesting question of how to generalize to unseen items (how would that be possible given that items have no representation at all) is not discussed at all and seems not to be realizable, which makes the starting point of such methods (items have no representation) questionable.	Correctness of algorithm proposed
Say for block size d=4, an index is required for each block, and the resulting compression ratio is at most 4 (correct me if I understand it wrong).	generalizability of results is questionable
It would therefore be instructive to add experiments for ResNet to see how well the results generalize to other network architectures.	Experimental study not strong enough
Why can pGAN lead to the inclination? Is it possible for pGAN to control the specific error tendency?	Missing details on methodology (eg., use of notation, use on tasks, etc)
However, in this way, when more and more tasks come, the generator will become larger and larger.	Correctness of algorithm proposed
Thus, the trained model will also only be able to handle one test domain, not much different than regular meta-learning models.	Correctness of algorithm proposed
The latter model is similar to RAND-WALK, so it is not surprising that statistical functions there are similarly concentrated.	Limited novelty in theoretical contribution
How big is the generalization gap for the tested models when adaptive kernel is used?	Incomplete details on perfromance of the method
Missing references - authors may want to consider citing https://arxiv.org/abs/1906.06187 as well in Sec. 2 - it seems very related to this work.	Missing citations in the paper
The only new result seem to be Theorem 4.7 which is a natural extension to theorem 4.3 to zeroth-order methods.	Limited novelty in theoretical contribution
little improvements over the baselines or even significantly worse. More importantly,	Limited improvement over baselines
For example, ADP and ADP-T runtimes were very close on WikiText-103 dataset but very different on Billion Word corpus (Table 3 and 4).	claims on the datasets is questionable
In general, the space that was used to explain the Transformer baselines---which are essentially straightforward ways to adapt transformers to this task---could have been used to give more detail on the dataset.	Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)
* There is still no comparison with competing nonparametric tests on the fMRI data.	Less datasets used
3. Estimating entropies is a standard practice in statistics and machine learning, with an arsenal of estimators; the motivation of the submission is questionable.	Limited insights based on design choices
I believe that this paper is not the first one to study question generation from logical form (cf. Guo et al, 2018 as cited), so it is unclear what is the contribution of this paper in that respect.	Limited novelty as compared to related work
- Detailed experimental setups are missing.	Experimental study not strong enough
=> Baselines: The comparison provided in the paper is weak.	Missing baselines
As far as I understand, this involves only minor changes in the code since reasonable hyperparameters required for the convergence of Adam have been extensively studied.	Incomplete details on perfromance of the method
Though the title promises a contribution to an understanding of word embedding compositions in general, they barely expound on the broader implications of their idea in representing elements of language through vectors.	While better than most of the baseline methods, the N^2 memory/computational complexity is not bad, but still too high to scale to very large graphs.
While the experiments are only performed on sentimental analysis and digit recognition. How about evaluating the proposed methods on real image recognition such as DomainNet or Office-Home?	More variations of experiments needs to be added
However image captioning datasets are not mentioned.	Less datasets used
On a more minor note, the paper [1] seems to report 4.95 accuracy for MixMatch on CIFAR-10 with 4k labels, while in this paper it’s being reported as 6.24.	Missing baselines
"This assertion is not justified, and seems surprising to me; we have very useful natural language processing systems that do not perform in a way that is comparable to humans (the hedge ""some degree of"" is really neither here nor there)."	Incomplete details on perfromance of the method
- Does the MonoGAN exhibit stable training dynamics comparable to training WGAN on CIFAR-10, or do the training dynamics change on the single-image data set?	Lack of discussion of performance of method on different datasets
Equation (4). What is d_{k,l}? A pixel-wise target label? Where does it come from?	Missing details on methodology (eg., use of notation, use on tasks, etc)
More importantly: (1) It does not show any advantage of replica exchange over standard dynamics; (2) It does not provide any quantitative insight for high-dimensional problems.	Incomplete details on perfromance of the method
"I feel the approach to implicitly assume that the classifiers to be compared are already ""reasonably accurate""; since if not, both classifiers might be easily falsified by certain trivial examples, making the ""disagreed examples"" not as meaningful."	Correctness of algorithm proposed
Beyond the core findings, the other settings are less convincingly supported by seem more like work in progress and this paper is really just a scaling-up of [Pathak, et al., ICML17] without generating any strong results regarding questions around representation, what to do about stochasticity (although the discussion regarding something like ‘curiosity honeypots’ is interesting).	Incremental novelty of method as compared to related work
Unlike Arora's original work, the assumptions they make on their subject material are not supported enough, as in their lack of explanation of why linear addition of two word embeddings should be a bad idea for composition of the embedding vectors of two syntactically related words, and why the corrective term produced by their method makes this a good idea.	Improper comparison of related work in terms of implementation
that (except the minor small section of streaming data), the paper is more like a proper verification of how tree-based learning algorithms work very well in tabular data--which is far from the basis of the paper and does not make the paper novel enough for ICLR.	that (except the minor small section of streaming data), the paper is more like a proper verification of how tree-based learning algorithms work very well in tabular data--which is far from the basis of the paper and does not make the paper novel enough for ICLR.
However, there are papers empirically analyzing novelty detection using generative model -- should analyze or at least cite:	Missing baselines
From this perspective, the paper seems like an application of existing tools (such as CNN, graph convolutional network and binary classification).	Limited novelty in theoretical contribution
It is hard to understand the results without discussing it.	Improper explanation of results (as in advantages, why are results better, etc)
It is also not clear why Table. 3 does not report the Bayes baseline results.	Improper presentation of results in tables and figures
3, The notations in Eq. (1) and (2) are messy.	Unclear description of method
More precisely, for the digit datasets, the reviewer was interested to see how the proposed MDL performs on jointly adapting SVHN, MNIST, MNIST-M, and USPS or jointly adapting DSLR, Amazon, and Webcam for OFFICE dataset.	Lack of discussion of performance of method on different datasets
The author never explains. E.g., link to NRMSE and PFC to the Table.	Missing explanation of comparsion with related work in tables and figures
In general, recent work has found that the raw number of parameters has little to do with the size of the model class or the capacity of a model for deep models, and thus work like [A] has been trying to come up with better complexity measures for models to explain generalization.	Limited novelty as compared to related work
How do “we choose a specific number of assignments based on prediction probabilities”?	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The paper does not have a significant novel contribution, but rather extends GANs (improved-GAN mostly) with a manifold regularization, which has been explored in many other works Kumar et al. (2017) and Qi et al. (2018).	Incremental novelty of method as compared to related work
b) Down weighting the KL term by lambda for the VI techniques unfairly biases the comparison.	Correctness of algorithm proposed
It also adds capacity and it is not at all made clear whether the comparison is fair since no analysis on number of parameters are shown.	More experiments needed with related work
This needs more elaboration. Is this way of training results expected? What is the lesson learned?	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
Is there a reason why the authors do not introduce their objective by following the variational framework?	Missing details on methodology (eg., use of notation, use on tasks, etc)
"Comparison to ""SGD BN removed"" is not fair because the initialization is different (application of BN re-initializes weight scales and biases)."	Correctness of algorithm proposed
However there are a few key weaknesses in my view, not least that the practical utility of these metrics is not obvious, since they require supervision in the target domain.	Limited insights based on design choices
"(1) My main problem with this paper is that the novel objective proposed by the authors in Eq. 7 is equivalent to the objective of WAEs appearing in Eq. 4 of [1] (up to a heuristic of applying logarithm to the divergence measure, which is not justified but meant to ""improve the balance between two terms"", see footnote 2), where the authors use the newly introduced Cramer-Wold divergence as a choice of the penalty term in Eq. 4 of [1]."	Limited novelty in theoretical contribution
In Figure 6 there seem to be unnecessary discrepancies between the y-axis and colorbar of subplots (a) and (b), and keeping those more consistent would improve readability.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
One other limitation seems to be that Theorem 1 requires using a step size which seems to be much smaller than what one may hope to use in practice. Can you comment on this?	Correctness of algorithm proposed
- MAAC does not consistently outperform baselines, and it is not clear how the stated explanations about the difference in performance apply to other problems.	Improper comparison of related work in terms of implementation
